,Dimension 1,Dimension 2
ouverture,-0.18046317571817178,0.4532283387258796
authenticité,-0.35124125713911414,0.6426921065853178
sociabilité,0.3081242190645538,0.6811929933135497
auto_promotion,0.8794278624207229,-0.03974865774063649
exemplarité,0.5488386238675873,0.1659567885324115
